file,begin,end,speaker,loglikelihood
027280-3102807,0.0,2.176,027280,-5.112373271889401
027280-3097422,0.0,3.7546875,027280,-5.285032
027280-3105635,0.0,2.2186875,027280,-5.283733031674208
027280-3102878,0.0,2.2186875,027280,-5.225235294117647
027280-3096185,0.0,1.8346875,027280,-4.777875409836065
027280-3100033,0.0,3.4986875,027280,-5.667710601719198
027280-3097163,0.0,2.7306875,027280,-4.75240293040293
027280-3097857,0.0,3.5413125,027280,-5.215672316384181
027280-3100922,0.0,3.2426875,027280,-5.622777777777777
027280-3104052,0.0,2.2613125,027280,-4.625752212389381
027280-3105324,0.0,2.304,027280,-5.302360869565217
027280-3096737,0.0,4.1813125,027280,-5.457198564593301
027280-3103970,0.0,3.2853125,027280,-5.356307926829268
027280-3101863,0.0,2.7306875,027280,-5.154347985347985
027280-3099416,0.0,1.792,027280,-5.456848603351955
027280-3103253,0.0,3.4986875,027280,-5.453392550143266
027280-3097026,0.0,2.56,027280,-5.00732421875
027280-3105903,0.0,2.9866875,027280,-5.20641610738255
027280-3106079,0.0,2.2186875,027280,-5.314085972850679
027280-3104939,0.0,4.48,027280,-5.435439732142858
027280-3096766,0.0,2.7733125,027280,-4.867931407942238
027280-3099932,0.0,2.432,027280,-5.36822633744856
027280-3100880,0.0,2.3466875,027280,-5.084183760683761
027280-3104185,0.0,2.2186875,027280,-5.389972850678733
027280-3103008,0.0,3.584,027280,-5.327312849162012
027280-3099437,0.0,1.5786875,027280,-5.377178343949044
027280-3098386,0.0,2.56,027280,-4.819359375
027280-3102378,0.0,2.688,027280,-5.43855223880597
027280-3099072,0.0,2.688,027280,-5.597048507462687
027280-3098603,0.0,3.2853125,027280,-5.738164634146341
027280-3102689,0.0,1.7066875,027280,-5.119027647058823
027280-3097718,0.0,2.7733125,027280,-5.65645487364621
027280-3096591,0.0,2.048,027280,-5.044387254901961
027280-3101371,0.0,3.2,027280,-5.43766875
027280-3104392,0.0,2.9866875,027280,-5.118093959731544
027280-3099232,0.0,4.736,027280,-5.280124735729387
027280-3105144,0.0,1.6213125,027280,-4.9643753086419755
027280-3105865,0.0,3.328,027280,-5.378114457831326
027280-3098023,0.0,3.6693125,027280,-5.326330601092896
027280-3101404,0.0,2.048,027280,-4.951558823529412
027280-3099259,0.0,2.0053125,027280,-5.309855
